NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO_CLATHRIN_COATED_ENDOCYTIC_VESICLE_MEMBRANE	GO_CLATHRIN_COATED_ENDOCYTIC_VESICLE_MEMBRANE	Details ...	35	0.82335645	2.3113768	0.0	0.0	0.0	97	tags=26%, list=0%, signal=26%	
GO_LUMENAL_SIDE_OF_ENDOPLASMIC_RETICULUM_MEMBRANE	GO_LUMENAL_SIDE_OF_ENDOPLASMIC_RETICULUM_MEMBRANE	Details ...	22	0.8893754	2.2803001	0.0	4.972158E-4	0.001	128	tags=45%, list=1%, signal=46%	
GO_CLATHRIN_COATED_ENDOCYTIC_VESICLE	GO_CLATHRIN_COATED_ENDOCYTIC_VESICLE	Details ...	48	0.7416781	2.2442925	0.0	6.561741E-4	0.002	97	tags=19%, list=0%, signal=19%	
GO_PEPTIDE_ANTIGEN_BINDING	GO_PEPTIDE_ANTIGEN_BINDING	Details ...	23	0.86931324	2.243696	0.0	4.921306E-4	0.002	97	tags=30%, list=0%, signal=31%	
GO_MHC_PROTEIN_COMPLEX	GO_MHC_PROTEIN_COMPLEX	Details ...	19	0.876194	2.1729808	0.0	0.002751444	0.014	524	tags=68%, list=3%, signal=70%	
GO_LUMENAL_SIDE_OF_MEMBRANE	GO_LUMENAL_SIDE_OF_MEMBRANE	Details ...	26	0.8111898	2.1605315	0.0	0.0026214602	0.016	128	tags=38%, list=1%, signal=39%	
GO_ER_TO_GOLGI_TRANSPORT_VESICLE_MEMBRANE	GO_ER_TO_GOLGI_TRANSPORT_VESICLE_MEMBRANE	Details ...	54	0.6703896	2.0526173	0.0	0.015756575	0.108	97	tags=17%, list=0%, signal=17%	
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II	GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_OR_POLYSACCHARIDE_ANTIGEN_VIA_MHC_CLASS_II	Details ...	94	0.59372574	2.0235915	0.0	0.023900976	0.178	700	tags=18%, list=4%, signal=19%	
GO_TRANS_GOLGI_NETWORK_MEMBRANE	GO_TRANS_GOLGI_NETWORK_MEMBRANE	Details ...	85	0.5611927	1.8811744	0.0	0.1914269	0.825	1132	tags=18%, list=6%, signal=19%	
GO_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING	GO_MHC_CLASS_II_PROTEIN_COMPLEX_BINDING	Details ...	16	0.76920706	1.835895	0.0043010754	0.30018696	0.953	524	tags=50%, list=3%, signal=51%	
GO_GOLGI_ASSOCIATED_VESICLE_MEMBRANE	GO_GOLGI_ASSOCIATED_VESICLE_MEMBRANE	Details ...	98	0.5356733	1.8328997	0.0	0.28346744	0.958	962	tags=15%, list=5%, signal=16%	
GO_COPII_COATED_ER_TO_GOLGI_TRANSPORT_VESICLE	GO_COPII_COATED_ER_TO_GOLGI_TRANSPORT_VESICLE	Details ...	85	0.5407953	1.8182496	0.0	0.3062635	0.976	97	tags=11%, list=0%, signal=11%	
GO_ENDOCYTIC_VESICLE_MEMBRANE	GO_ENDOCYTIC_VESICLE_MEMBRANE	Details ...	141	0.5000866	1.7968065	0.0	0.35835773	0.99	1449	tags=16%, list=7%, signal=17%	
GO_CLATHRIN_COATED_VESICLE_MEMBRANE	GO_CLATHRIN_COATED_VESICLE_MEMBRANE	Details ...	96	0.5187375	1.7901291	0.0	0.3563983	0.993	1557	tags=19%, list=8%, signal=20%	
GO_POLYSACCHARIDE_BINDING	GO_POLYSACCHARIDE_BINDING	Details ...	23	0.6733676	1.7885832	0.0	0.338541	0.994	7	tags=9%, list=0%, signal=9%	
GO_MHC_PROTEIN_COMPLEX_BINDING	GO_MHC_PROTEIN_COMPLEX_BINDING	Details ...	25	0.6692502	1.7872071	0.009367681	0.3211423	0.994	524	tags=32%, list=3%, signal=33%	
GO_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY	GO_INTERFERON_GAMMA_MEDIATED_SIGNALING_PATHWAY	Details ...	82	0.52478987	1.7430332	0.0	0.47443926	1.0	1341	tags=22%, list=7%, signal=23%	
GO_NEUROTRANSMITTER_SODIUM_SYMPORTER_ACTIVITY	GO_NEUROTRANSMITTER_SODIUM_SYMPORTER_ACTIVITY	Details ...	16	0.7380636	1.7366725	0.006289308	0.47724682	1.0	2513	tags=25%, list=13%, signal=29%	
GO_SOLUTE_SODIUM_SYMPORTER_ACTIVITY	GO_SOLUTE_SODIUM_SYMPORTER_ACTIVITY	Details ...	46	0.57884973	1.7343771	0.0022371365	0.4618564	1.0	2513	tags=26%, list=13%, signal=30%	
GO_NITRIC_OXIDE_SYNTHASE_BIOSYNTHETIC_PROCESS	GO_NITRIC_OXIDE_SYNTHASE_BIOSYNTHETIC_PROCESS	Details ...	19	0.68776613	1.7335323	0.010989011	0.44317913	1.0	979	tags=21%, list=5%, signal=22%	
GO_CATALYTIC_STEP_2_SPLICEOSOME	GO_CATALYTIC_STEP_2_SPLICEOSOME		85	0.5148575	1.7278235	0.0	0.44639263	1.0	3172	tags=34%, list=16%, signal=41%	
GO_REGULATION_OF_MEIOTIC_CELL_CYCLE	GO_REGULATION_OF_MEIOTIC_CELL_CYCLE		39	0.57271945	1.7052611	0.0068649887	0.52591187	1.0	1630	tags=23%, list=8%, signal=25%	
GO_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY	GO_REGULATION_OF_B_CELL_RECEPTOR_SIGNALING_PATHWAY		26	0.6349286	1.7025081	0.008948546	0.5163218	1.0	2034	tags=42%, list=10%, signal=47%	
GO_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT	GO_CYTOSOLIC_LARGE_RIBOSOMAL_SUBUNIT		53	0.5478791	1.6919374	0.0021834061	0.5410703	1.0	934	tags=43%, list=5%, signal=45%	
GO_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	GO_CALCIUM_DEPENDENT_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES		31	0.6080758	1.6798797	0.0154185025	0.5769807	1.0	1505	tags=19%, list=8%, signal=21%	
GO_POSITIVE_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	GO_POSITIVE_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME		20	0.6558053	1.676829	0.0067873304	0.5709427	1.0	2144	tags=35%, list=11%, signal=39%	
GO_SENSORY_PERCEPTION_OF_BITTER_TASTE	GO_SENSORY_PERCEPTION_OF_BITTER_TASTE		16	0.69636333	1.6727368	0.024390243	0.5690652	1.0	4282	tags=44%, list=22%, signal=56%	
GO_POSITIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION	GO_POSITIVE_REGULATION_OF_TRANSFORMING_GROWTH_FACTOR_BETA_PRODUCTION		18	0.66891956	1.6684535	0.017738359	0.56920445	1.0	4174	tags=50%, list=21%, signal=63%	
GO_POSITIVE_REGULATION_OF_NITRIC_OXIDE_SYNTHASE_BIOSYNTHETIC_PROCESS	GO_POSITIVE_REGULATION_OF_NITRIC_OXIDE_SYNTHASE_BIOSYNTHETIC_PROCESS		15	0.7042423	1.664585	0.0042643924	0.56736714	1.0	979	tags=20%, list=5%, signal=21%	
GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN	GO_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_PEPTIDE_ANTIGEN		179	0.4507192	1.653734	0.0	0.6023527	1.0	2492	tags=21%, list=13%, signal=24%	
GO_POSITIVE_REGULATION_OF_B_CELL_MEDIATED_IMMUNITY	GO_POSITIVE_REGULATION_OF_B_CELL_MEDIATED_IMMUNITY		36	0.56759125	1.6525482	0.006451613	0.588807	1.0	2882	tags=33%, list=15%, signal=39%	
GO_CARBOHYDRATE_BINDING	GO_CARBOHYDRATE_BINDING		228	0.43043914	1.6506368	0.0	0.5800556	1.0	2813	tags=24%, list=14%, signal=28%	
GO_INTRINSIC_COMPONENT_OF_ENDOPLASMIC_RETICULUM_MEMBRANE	GO_INTRINSIC_COMPONENT_OF_ENDOPLASMIC_RETICULUM_MEMBRANE		151	0.44698173	1.6322879	0.0024752475	0.6569494	1.0	229	tags=9%, list=1%, signal=9%	
GO_CELLULAR_RESPONSE_TO_FLUID_SHEAR_STRESS	GO_CELLULAR_RESPONSE_TO_FLUID_SHEAR_STRESS		18	0.65929085	1.6311147	0.022675738	0.6435008	1.0	1141	tags=33%, list=6%, signal=35%	
GO_ORGANIC_ACID_SODIUM_SYMPORTER_ACTIVITY	GO_ORGANIC_ACID_SODIUM_SYMPORTER_ACTIVITY		18	0.65015584	1.6302198	0.024175825	0.6294417	1.0	2513	tags=22%, list=13%, signal=25%	
GO_MULTIVESICULAR_BODY	GO_MULTIVESICULAR_BODY		39	0.55775404	1.6238948	0.008988764	0.6442323	1.0	897	tags=15%, list=5%, signal=16%	
GO_SINGLE_STRANDED_DNA_BINDING	GO_SINGLE_STRANDED_DNA_BINDING		110	0.4587916	1.6222601	0.0025445293	0.63583416	1.0	964	tags=16%, list=5%, signal=17%	
GO_PROTEIN_LOCALIZATION_TO_CHROMOSOME_CENTROMERIC_REGION	GO_PROTEIN_LOCALIZATION_TO_CHROMOSOME_CENTROMERIC_REGION		21	0.62434417	1.621562	0.015625	0.6224989	1.0	2861	tags=52%, list=15%, signal=61%	
GO_EXODEOXYRIBONUCLEASE_ACTIVITY	GO_EXODEOXYRIBONUCLEASE_ACTIVITY		18	0.6524493	1.6163361	0.023255814	0.63413084	1.0	3505	tags=56%, list=18%, signal=68%	
GO_CLATHRIN_COATED_VESICLE	GO_CLATHRIN_COATED_VESICLE		164	0.4373689	1.6127039	0.0025510204	0.6375423	1.0	2327	tags=20%, list=12%, signal=23%	
GO_ANTIGEN_PROCESSING_AND_PRESENTATION	GO_ANTIGEN_PROCESSING_AND_PRESENTATION		215	0.41825014	1.6093168	0.0023980816	0.63972366	1.0	2567	tags=22%, list=13%, signal=25%	
GO_TRANSPORT_VESICLE_MEMBRANE	GO_TRANSPORT_VESICLE_MEMBRANE		169	0.43348804	1.6089896	0.0023584906	0.62607855	1.0	1142	tags=12%, list=6%, signal=13%	
GO_MATURATION_OF_LSU_RRNA	GO_MATURATION_OF_LSU_RRNA		21	0.6218371	1.6079891	0.03153153	0.61665285	1.0	1574	tags=33%, list=8%, signal=36%	
GO_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS	GO_RIBOSOMAL_LARGE_SUBUNIT_BIOGENESIS		64	0.51091594	1.6031471	0.008928572	0.6266092	1.0	1574	tags=27%, list=8%, signal=29%	
GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN_NAD_P_H_AS_ONE_DONOR_AND_INCORPORATION_OF_ONE_ATOM_OF_OXYGEN	GO_OXIDOREDUCTASE_ACTIVITY_ACTING_ON_PAIRED_DONORS_WITH_INCORPORATION_OR_REDUCTION_OF_MOLECULAR_OXYGEN_NAD_P_H_AS_ONE_DONOR_AND_INCORPORATION_OF_ONE_ATOM_OF_OXYGEN		31	0.56928587	1.601936	0.011037528	0.6181066	1.0	2749	tags=35%, list=14%, signal=41%	
GO_CYTOSOLIC_RIBOSOME	GO_CYTOSOLIC_RIBOSOME		99	0.4656958	1.6004262	0.004640371	0.61168516	1.0	683	tags=34%, list=3%, signal=35%	
GO_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY	GO_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY		26	0.60144883	1.5989387	0.0119904075	0.60585564	1.0	1009	tags=27%, list=5%, signal=28%	
GO_B_CELL_APOPTOTIC_PROCESS	GO_B_CELL_APOPTOTIC_PROCESS		24	0.6059034	1.5976481	0.017857144	0.599183	1.0	2034	tags=42%, list=10%, signal=46%	
GO_PROTEIN_SERINE_THREONINE_KINASE_ACTIVATOR_ACTIVITY	GO_PROTEIN_SERINE_THREONINE_KINASE_ACTIVATOR_ACTIVITY		37	0.549258	1.5971669	0.019693654	0.58940655	1.0	1476	tags=24%, list=8%, signal=26%	
GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	GO_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE		98	0.46493644	1.5965457	0.007246377	0.5804903	1.0	683	tags=35%, list=3%, signal=36%	
GO_HYPEROSMOTIC_RESPONSE	GO_HYPEROSMOTIC_RESPONSE		24	0.60647064	1.5913485	0.023404256	0.5920143	1.0	2507	tags=33%, list=13%, signal=38%	
GO_REPLICATION_FORK	GO_REPLICATION_FORK		68	0.49171373	1.5890511	0.016129032	0.5904513	1.0	3165	tags=35%, list=16%, signal=42%	
GO_POSITIVE_REGULATION_OF_STEM_CELL_PROLIFERATION	GO_POSITIVE_REGULATION_OF_STEM_CELL_PROLIFERATION		37	0.5452827	1.5856819	0.017857144	0.59610957	1.0	1720	tags=24%, list=9%, signal=27%	
GO_NEGATIVE_REGULATION_OF_RNA_SPLICING	GO_NEGATIVE_REGULATION_OF_RNA_SPLICING		26	0.58875275	1.5830262	0.019189766	0.5968958	1.0	1765	tags=19%, list=9%, signal=21%	
