NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
GO_MATURE_B_CELL_DIFFERENTIATION	GO_MATURE_B_CELL_DIFFERENTIATION	Details ...	24	-0.72821134	-1.903355	0.0	0.33604354	0.281	307	tags=21%, list=2%, signal=21%	
GO_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	GO_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	Details ...	35	-0.67220116	-1.8970325	0.0018018018	0.18520896	0.31	3872	tags=34%, list=20%, signal=43%	
GO_MATURE_B_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE	GO_MATURE_B_CELL_DIFFERENTIATION_INVOLVED_IN_IMMUNE_RESPONSE	Details ...	18	-0.7656385	-1.8641877	0.0	0.22204903	0.493	307	tags=22%, list=2%, signal=23%	
GO_MESENCHYMAL_CELL_PROLIFERATION	GO_MESENCHYMAL_CELL_PROLIFERATION	Details ...	42	-0.6218225	-1.8195004	0.0	0.34767458	0.75	2414	tags=29%, list=12%, signal=33%	
GO_REGULATION_OF_SENSORY_PERCEPTION	GO_REGULATION_OF_SENSORY_PERCEPTION	Details ...	23	-0.71586686	-1.8116844	0.0018903592	0.31135944	0.781	3151	tags=30%, list=16%, signal=36%	
GO_POSITIVE_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS	GO_POSITIVE_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS	Details ...	23	-0.7061929	-1.7873628	0.0	0.37198982	0.888	3151	tags=30%, list=16%, signal=36%	
GO_T_CELL_CHEMOTAXIS	GO_T_CELL_CHEMOTAXIS	Details ...	25	-0.6697227	-1.7547483	0.0018018018	0.5158861	0.965	3298	tags=48%, list=17%, signal=58%	
GO_GRANULOCYTE_MACROPHAGE_COLONY_STIMULATING_FACTOR_PRODUCTION	GO_GRANULOCYTE_MACROPHAGE_COLONY_STIMULATING_FACTOR_PRODUCTION	Details ...	15	-0.72985613	-1.7215981	0.0072202166	0.70215964	0.996	1156	tags=20%, list=6%, signal=21%	
GO_DEFENSE_RESPONSE_TO_FUNGUS	GO_DEFENSE_RESPONSE_TO_FUNGUS	Details ...	23	-0.66914964	-1.7185643	0.0036036037	0.65156204	0.997	884	tags=22%, list=5%, signal=23%	
GO_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY	GO_FC_RECEPTOR_MEDIATED_STIMULATORY_SIGNALING_PATHWAY	Details ...	139	-0.48359448	-1.7183598	0.0	0.58803	0.997	2894	tags=36%, list=15%, signal=42%	
GO_POSITIVE_REGULATION_OF_CELLULAR_EXTRAVASATION	GO_POSITIVE_REGULATION_OF_CELLULAR_EXTRAVASATION	Details ...	16	-0.7316758	-1.6979852	0.0054151625	0.69603634	1.0	4481	tags=63%, list=23%, signal=81%	
GO_POSITIVE_REGULATION_OF_CELL_AGING	GO_POSITIVE_REGULATION_OF_CELL_AGING	Details ...	15	-0.73416936	-1.6963141	0.009107468	0.65068775	1.0	1194	tags=40%, list=6%, signal=43%	
GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_CHEMOTAXIS	GO_POSITIVE_REGULATION_OF_LYMPHOCYTE_CHEMOTAXIS	Details ...	20	-0.68394166	-1.6920156	0.01056338	0.6321511	1.0	3298	tags=50%, list=17%, signal=60%	
